id,seat_number,floor,occupant,equipment,applicants,created_at,arrange
1baad799-9f74-449b-aaec-482cbbda83e0,EMPTY,8,,[],[],2025-04-08 06:42:42.066167+00,3
6c632a22-2a5f-4ecd-bc73-049b97bcf007,8-1,8,,"[""44ae6d5e-532f-4315-9ed0-99e3dcc93d77""]",[],2025-04-08 00:00:00+00,1
72ce75b9-6fa8-4a1f-b630-0362445f42b4,8-2,8,a29ef7ed-d160-4e56-be20-fce93718915c,[],[],,2
73742710-e64e-4308-9d77-3906702a35e7,8-4,8,,[],[],2025-04-04 04:54:03.000601+00,5
8e8fdd29-be6d-431d-b764-5b31d3ab084c,8-5,8,,[],[],2025-04-08 06:42:57.816757+00,6
d219f975-2f4e-48fe-bb55-ff1768dbc6c7,8-3,8,8b73d134-805c-4623-ad2b-3ca46c1f1c5e,[],[],2025-04-04 04:54:52.229164+00,4
f782b6e8-40d6-4d03-bae2-e10de09bba24,EMPTY,8,,[],[],2025-04-08 06:20:00.113245+00,0
f782b6e8-40d6-4d03-bae2-e10de09bba25,8-6,8,,[],[],,7
f782b6e8-40d6-4d03-bae2-e10de09bba26,8-7,8,,[],[],,8
f782b6e8-40d6-4d03-bae2-e10de09bba27,EMPTY,8,,[],[],,9
f782b6e8-40d6-4d03-bae2-e10de09bba28,8-8,8,,[],[],,10
f782b6e8-40d6-4d03-bae2-e10de09bba29,8-9,8,eac967cb-5c25-4afc-8c0e-edb66ad2f980,[],[],,11
f782b6e8-40d6-4d03-bae2-e10de09bba30,EMPTY,8,,[],[],,12
f782b6e8-40d6-4d03-bae2-e10de09bba31,EMPTY,8,,[],[],,13
f782b6e8-40d6-4d03-bae2-e10de09bba32,EMPTY,8,,[],[],,14
f782b6e8-40d6-4d03-bae2-e10de09bba33,EMPTY,8,,[],[],,15
f782b6e8-40d6-4d03-bae2-e10de09bba34,EMPTY,8,,[],[],,16
f782b6e8-40d6-4d03-bae2-e10de09bba35,EMPTY,8,,[],[],,17
f782b6e8-40d6-4d03-bae2-e10de09bba36,8-10,8,,[],[],,18
f782b6e8-40d6-4d03-bae2-e10de09bba37,8-11,8,8582a6e9-2f0c-4b86-8df3-7aa5de179431,[],[],,19
f782b6e8-40d6-4d03-bae2-e10de09bba38,8-12,8,,[],[],,20
f782b6e8-40d6-4d03-bae2-e10de09bba39,EMPTY,8,,[],[],,21
f782b6e8-40d6-4d03-bae2-e10de09bba40,8-13,8,,[],[],,22
f782b6e8-40d6-4d03-bae2-e10de09bba41,8-14,8,,[],[],,23
f782b6e8-40d6-4d03-bae2-e10de09bba42,8-15,8,,[],[],,24
f782b6e8-40d6-4d03-bae2-e10de09bba43,8-16,8,e8f06ccb-005e-43c1-a6df-5b4a95749b62,[],[],,25
f782b6e8-40d6-4d03-bae2-e10de09bba44,8-17,8,,[],[],,26
f782b6e8-40d6-4d03-bae2-e10de09bba45,EMPTY,8,,[],[],,27
f782b6e8-40d6-4d03-bae2-e10de09bba46,8-18,8,,[],[],,28
f782b6e8-40d6-4d03-bae2-e10de09bba47,8-19,8,,[],[],,29
f782b6e8-40d6-4d03-bae2-e10de09bba48,EMPTY,8,,[],[],,30
f782b6e8-40d6-4d03-bae2-e10de09bba49,EMPTY,8,,[],[],,31
f782b6e8-40d6-4d03-bae2-e10de09bba50,EMPTY,8,,[],[],,32
f782b6e8-40d6-4d03-bae2-e10de09bba51,EMPTY,8,,[],[],,33
f782b6e8-40d6-4d03-bae2-e10de09bba52,EMPTY,8,,[],[],,34
f782b6e8-40d6-4d03-bae2-e10de09bba53,EMPTY,8,,[],[],,35
f782b6e8-40d6-4d03-bae2-e10de09bba54,8-20,8,,[],[],,36
f782b6e8-40d6-4d03-bae2-e10de09bba55,8-21,8,,[],[],,37
f782b6e8-40d6-4d03-bae2-e10de09bba56,8-22,8,055d1505-fafc-4c9e-833d-bdffa56596bd,[],[],,38
f782b6e8-40d6-4d03-bae2-e10de09bba57,EMPTY,8,,[],[],,39
f782b6e8-40d6-4d03-bae2-e10de09bba58,EMPTY,8,,[],[],,40
f782b6e8-40d6-4d03-bae2-e10de09bba59,EMPTY,8,,[],[],,41
f782b6e8-40d6-4d03-bae2-e10de09bba60,EMPTY,8,,[],[],,42
f782b6e8-40d6-4d03-bae2-e10de09bba61,8-23,8,,[],[],,43
f782b6e8-40d6-4d03-bae2-e10de09bba62,8-24,8,a31346d7-46f5-48eb-9bbd-6aee31cdb603,[],[],,44
f782b6e8-40d6-4d03-bae2-e10de09bba63,EMPTY,8,,[],[],,45
f782b6e8-40d6-4d03-bae2-e10de09bba64,EMPTY,8,,[],[],,46
f782b6e8-40d6-4d03-bae2-e10de09bba65,EMPTY,8,,[],[],,47
